"Location or Address","Location - Remarks","Property Owner",Public,Private,"New Tag #","Old Tag #","DBH ("")","General Condition of Crown","Foliage Quality","Structural Quality","Deadwood Present","Quality Tree",Remarks,Maintenance Performed
- Battle Ave South side,Leavitt Hall Parking lot,MMA,"",X,1,4,31,F,F,G,G,"","",Pruned
- Battle Ave South side,Leavitt Hall Parking lot,MMA,"",X,2,-,36,F,F,"",VP,"",Large stubbs,Pruned
- Battle Ave South side,Leavitt Hall Parking lot,MMA,"",X,3,-,26,P,P,G,G,"",Small DW,""
- Pleasant St West side,Leavitt Hall East side,MMA,"",X,4,"",31,G,G,G,G,"",Small DW,""
- Pleasant St West side,Student Union East side,MMA,"",X,5,"",35,E,E,G,E,,"",Pruned
- Pleasant St West side,Student Union South side,MMA,"",X,6,"",20,F,F,G,G,"",Small DW,Pruned
- Pleasant St West side,Student Union South side,MMA,"",X,7,"",25,G,G,F,F,"",Small DW,Pruned
66 Pleasant St West side,Perkins House,MMA,"",X,8,"",29,G,G,G,F,"",Medium DW,""
58 Pleasant St West side,Windlass House,MMA,"",X,9,"",35,G,G,G,P,"",Large DW,Pruned
58 Pleasant St West side,Windlass House,MMA,"",X,1 0,39,26,G,G,G,G,"","Butt damage, In R.O.W.",Pruned
- Pleasant St West side,Curtis Hall East side,MMA,"",X,1 1,"",15,F,F,P,G,"",Many old cankers on butt,""
- Pleasant St West side,Curtis Hall East side,MMA,"",X,1 2,"",14,G,G,G,G,"",Small DW,""
- Pleasant St West side,Curtis Hall East side,MMA,"",X,1 3,"",25,G,G,G,G,"",Small DW,""
"- Pleasant St West side",M.C. Smith Gym North side,MMA,"",X,1 4,"",26,G,G,F,F,"",Medium DW,""
54 Pleasant St West side,Buoy House,MMA,"",X,1 5,51,35,G,G,G,VP,"",Large DW,Pruned
52 Pleasant St West side,Sextant House,MMA,"",X,1 6,"",38,P,P,F,VP,"","Large DW, High cavity",Pruned
44 Pleasant St West side,NROTC,MMA,"",X,1 7,53,34,G,G,P,P,"","Medium DW, Low cavity",""
44 Pleasant St West side,NROTC,MMA,"",X,1 8,45,50,F,G,F,E,"",Possible rot in stump,Pruned
- Pleasant St West side,BIW South side,MMA,"",X,1 9,"",21,F,F,G,P,"",Large DW,""
- Football Field West end,"",MMA,"",X,2 0,"",8 10 18 19,G,G,G,G,"","Small DW, 4 Stems",""
4 Court St North side,Propeller House,MMA,"",X,2 1,"",53,F,G,VP,F,"","Poor structure, Old damage",Pruned
18 Court St North side,Pennant House,MMA,"",X,2 2,"",51,E,E,G,E,,"",Pruned
18 Court St North side,Pennant House,MMA,"",X,2 3,"",29,G,G,G,G,"","",Pruned
18 Court St North side,Pennant House,MMA,"",X,2 4,"",35,F,F,G,G,"",Remove old guy,REMOVED (DED)
22 Court St North side,Compass House,MMA,"",X,2 5,"",43,G,G,G,G,"",Small DW,Pruned
22 Court St North side,Compass House,MMA,"",X,2 6,"",23,G,G,G,G,"",Small DW,Tested Negative for DED
- Court St North side,Football Field South side,MMA,"",X,2 7,"",36,G,G,G,G,"","",""
- Court St North side,Football Field South side,MMA,"",X,2 8,"",29,F,G,P,F,"","Medium DW, Cavaties in stem",""
- Court St North side,Football Field South side,MMA,"",X,2 9,"",17,F,F,G,F,"",Medium DW,Pruned
- Court St North side,Football Field South side,MMA,"",X,3 0,"",24,F,F,F,G,"","",Pruned
- Pleasant St West side,Football Field East side,MMA,"",X,3 1,59,33,VG,E,G,P,"",Large DW,Pruned
- Pleasant St West side,Football Field East side,MMA,"",X,3 2,"",24,G,G,G,P,"",Large DW,""
- Pleasant St East Side,Dismukes Hall,MMA,"",X,3 3,"",36,P,F,G,F,"",Small DW,Pruned
- Battle Ave South side,Dismukes Hall,MMA,"",X,3 4,8,42,G,G,G,P,,Medium DW,""
- Main St West side,MMA Sign,MMA,"",X,3 5,9,32,F,F,F,G,"",Small DW,""
- Main St West side,MMA Sign,MMA,"",X,3 6,190,40,G,G,G,VP,"",Large DW,Pruned
- Main St West side,Dismukes Hall,MMA,"",X,3 7,11,39,P,G,G,VP,"",Large DW,Pruned
- Main St West side,Between Dismukes & Anchor,MMA,"",X,3 8,"",24,G,G,F,G,"",Small DW,Pruned
- Main St West side,Between Dismukes & Anchor,MMA,"",X,3 9,36,19,F,G,G,P,"",Large DW,Pruned
- Main St West side,Between Dismukes & Anchor,MMA,"",X,4 0,36,20,F,G,G,P,"",Large DW,Pruned
- Main St West side,Between Dismukes & Anchor,MMA,"",X,4 1,"",17,F,F,G,F,"",Medium DW,""
- Main St West side,Between Dismukes & Anchor,MMA,"",X,4 2,37,41,F,F,F,G,"",Weak crotch with cavity,Pruned
- Main St West side,Between Dismukes & Anchor,MMA,"",X,4 3,"",26,G,G,G,G,"",Small DW,""
- Main St West side,Between Dismukes & Anchor,MMA,"",X,4 5,"",31,"","",P,F,G,VP,"",Large DW,""
- Pleasant St East side,Dismukes Hall,MMA,"",X,4 6,"",28,"","",G,G,G,G,"","",""
67 Pleasant St East side,Pilot House,MMA,"",X,4 7,26,30,"","",G,F,G,P,"",Medium DW,""
67 Pleasant St East side,Pilot House,MMA,"",X,4 8,25,28,"","",VG,VG,G,F,"",Medium DW,Pruned
67 Pleasant St East side,Pilot House,MMA,"",X,4 9,24,17,"","",G,F,G,P,"",Medium DW,""
67 Pleasant St East side,Pilot House,MMA,"",X,5 0,"",26,"","",F,F,G,P,"",Medium DW,""
67 Pleasant St East side,Pilot House,MMA,"",X,5 1,21,28,"","",G,G,G,P,"",Medium DW,Pruned
67 Pleasant St East side,Pilot House,MMA,"",X,5 2,20,32,"","",F,G,F,VP,"",Large DW,Pruned
67 Pleasant St East side,Pilot House,MMA,"",X,5 3,23,49,"","",G,G,F,G,"",Branch crossing,Pruned
- Pleasant St East side,Commuter Lot West side,MMA,"",X,5 4,"",21,"","",P,P,G,F,"",Small DW,Pruned
- Pleasant St East side,Commuter Lot West side,MMA,"",X,5 5,"",19,"","",G,G,G,G,"","",""
- Stevens St North side,Commuter Lot South side,MMA,"",X,5 6,18,21,"","",F,F,G,G,"",Small DW,""
- Stevens St North side,Commuter Lot South side,MMA,"",X,5 7,17,18,"","",G,G,G,G,"",Small DW,""
- Stevens St North side,Commuter Lot South side,MMA,"",X,5 8,16,33,"","",G,G,G,F,"","Possible internal defect, Large DW",""
98 Main St West side,Anchor House,MMA,"",X,5 9,13,43,"","",G,G,G,R,,Large DW,Pruned
98 Main St West side,Anchor House,MMA,"",X,6 0,12,37,"","",G,G,P,P,,"Large DW, Replace 2 cables",Pruned; 2 cables
90 Perkins St North side,"",Ames,X,"",1 01,"",32,"","",G,G,G,G,"",Small DW,""
107 Perkins St South side,"",CSS,X,"",1 02,"",17,"","",G,G,VP,G,"",Poor crotch structure,Pruned; 3 brace rods
111 Perkins St South side,"",CSS,X,"",1 03,"",23,"","",G,G,F,G,"",Heavy leader over road,Pruned
111 Perkins St South side,"",CSS,"",X,1 04,"",12 10,"","",G,G,F,G,"","",""
121 Perkins St South side,"",Myers,X,"",1 05,270,40,"","",VG,VG,F/P,G,"","Small DW, Split leader, Replace 1 cable",Pruned; 1 cable; 3 brace rods
131 Perkins St South side,"",Brown,X,"",1 06,"",13,"","",G,G,F,G,"","Damaged  leader, Poor pruning cuts",Pruned
147 Perkins St South side,"",Arntzen,X,"",1 07,"",49,"","",F,F,P,F,"","Small DW, Old damage","Pruned, 1 cable"
150 Perkins St North side,"",Episcopal Church,X,"",1 08,"",18,"","",P,P,F,P,"","Medium DW, Poor overall condition",""
150 Perkins St North side,"",Episcopal Church,X,"",1 09,"",9,"","",G,G,VP,G,"","Poor crotch structure, Install brace",Pruned; 1 brace rod
144 Perkins St North side,"",Bland,"",X,1 10,"",15,"","",G,G,G,G,"",Small DW,""
144 Perkins St North side,"",Bland,"",X,1 11,392,17,"","",G,G,G,G,"",Small DW,""
126 Perkins St North side,"",Harris,X,"",1 12,267,30,"","",G,G,P,F,"","Medium DW, Damaged stem/crotch, Install1 cable",3 cables
120 Perkins St North side,"",CSS,X,"",1 13,268,34,"","",F,G,G,F,"","Medium DW, Old damage",Pruned
120 Perkins St North side,"",CSS,X,"",1 14,269,37,"","",F,G,F,G,"",Old damage,Pruned
112 Perkins St North side,"",CSS,"",X,1 15,"",20,"","",G,G,G,G,"",Small DW,""
157 Perkins St South side,"",Mundth,X,"",1 16,"",48,"","",VG,VG,F,F,"","Medium DW, Old damage",Replaced cable
173 Perkins St South side,"",Scheer,"",X,?,334,"",?,"","","","","","","",""
179 Perkins St South side,"",Martindale,X,"",1 17,255,39,"","",G,G,F,F,"","Small DW, Large damaged leader",Remover leader; 1 cable
166 Perkins St North side,"",Alston,"",X,1 18,"",10,"","",G,G,G,G,"","",""
160 Perkins St North side,"",Gminski,X,"",1 19,"",59,"","",G,G,G,G,,"",Pruned
1 Court St South side,"",Tschinkel,"",X,1 20,"",8,"","",G,G,G,G,"","",""
1 Court St South side,"",Tschinkel,"",X,1 21,"",9 11,"","",G,G,F,G,"",Poor low crotch structure,""
7 Court St South side,"",Warker,"",X,1 22,"",20,"","",G,G,G,G,"","",""
7 Court St South side,"",Warker,"",X,1 23,"",15,"","",G,F,G,G,"",Small DW,""
7 Court St South side,"",Warker,"",X,1 24,"",16 17,"","",G,G,F,G,"",Small DW,""
181 Perkins St South side,"",Rogers,"",X,1 25,"",34,"","",G,G,G,G,"",Small DW,""
181 Perkins St South side,"",Rogers,"",X,1 26,253,53,"","",G,F,P,G,"","Large cavity, Install 1 cable",""
185 Perkins St South side,"",Pott,"",X,1 28,"",58,G,G,F,G,"","",""
191 Perkins St South side,"",Rogers,"",X,1 29,"",21,G,G,G,G,"",Root damage,""
191 Perkins St South side,"",Rogers,"",X,1 30,"",16 14,G,G,G,G,"","",""
2 Pleasant St West side,"",Wiseman,"",X,1 31,"",19,G,G,G,G,"","",""
4 Pleasant St West side,"",Casteen,X,"",1 32,"",63,G,G,VP,P,"","Large DW, Multiple cavaties",Pruned; 1 cable
Pleasant St West side,197 Perkins St,Bartlett,X,"",1 33,"",6,G,G,G,G,"","",""
Pleasant St West side,200 Perkins St,Coughlin,X,"",1 34,"",8 8 8 8 8,G,G,F,G,"","",""
Pleasant St West side,196 Perkins St,McKeehan,"",X,1 35,296,29,G,G,P,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 36,"",20 13,G,G,F,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 37,352,13 10,G,G,F,G,"","",""
31 Court St South side,"",Kaden,"",X,1 38,"",31,G,G,F,F,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 39,"",14,G,G,G,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 40,"",8,G,G,G,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 41,"",16,G,G,G,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 42,"",21,G,G,P,G,"","",""
192 Perkins St North side,"",Gibbons,"",X,1 43,"",16 16 16 16 16,F,G,F,F,"","",""
188 Perkins St North side,"",Mills,"",X,1 44,"",15,G,G,G,G,"","",""
11 Dressers Ln East side,"",Fenton,X,"",1 45,151,24,G,G,G,F,"","",Pruned
- Court St South side,11 Dressers Lane,Fenton,X,"",1 46,"",45,F,G,G,F,,"",Pruned
- Court St South side,11 Dressers Lane,Fenton,X,"",1 47,149,50,G,G,G,F,,"",""
29 Court St South side,"",Payson,"",X,1 48,"",8 7,G,G,P,G,"","",""
31 Court St South side,"",Kaden,"",X,1 49,"",15 10 11,G,G,F,G,"","",""
31 Court St South side,"",Kaden,"",X,1 50,"",6,G,G,F,G,"","",""
31 Court St South side,"",Kaden,X,"",1 51,"",13,G,G,G,G,"","",""
31 Court St South side,"",Kaden,X,"",1 52,"",10,G,G,F,G,"","",""
41 Court St South side,"",Sweet,"",X,1 53,386,21,F,F,G,G,"","",""
41 Court St South side,"",Sweet,X,"",1 54,"",42,F,F,G,G,"",Pruned,Pruned
41 Court St South side,"",Sweet,X,"",1 55,147,31,G,G,G,G,"","",""
41 Court St South side,"",Sweet,X,"",1 56,146,23,F,F,G,"","","",Pruned
41 Court St South side,"",Sweet,X,"",1 57,"",33,G,G,P,G,"","",Pruned
Pleasant St West side,41 Court St,Sweet,X,"",1 58,"",7,G,G,G,G,"","",""
Water St North side,"",T & C,X,"",1 59,"",11 12 17,G,G,F,G,"","",""
18 Main St West side,"",Catuna,X,"",1 60,"",7,G,G,P,G,"","",""
Perkins St South side,18 Main St,Catuna,X,"",1 61,45,"",G,VG,F,F,"","",Pruned
206 Perkins St North side,"",Dearie,X,"",1 62,"",56,G,G,G,G,,"",Pruned
19 Pleasant St East side,"",Stearns,"",X,1 63,"",15,F,G,P,G,"","",""
21 Pleasant St East side,or property behind,Tonry,"",X,1 64,"",37,G,G,G,G,,"",""
- Court St South side,27 Pleasant St,Breen,X,"",1 65,240,60,G,G,G,G,,"",Pruned
- Pleasant St East side,46 Court St,Pierce,X,"",1 66,56,39,F,F,G,F,"","",Pruned
- Pleasant St East side,46 Court St,Pierce,X,"",1 67,55,34,F,F,G,F,"",Medium DW,Pruned
39 Pleasant St East side,"",Nelson,X,"",1 68,297,40,G,G,G,G,"","",""
43 Pleasant St East side,"",Warren,X,"",1 69,374,28,F,F,G,G,"",Small DW,""
43 Pleasant St East side,"",Warren,X,"",1 70,"",6,G,G,G,G,"","",""
Pleasant St East side,80 Main St Rear,McLean,X,"",1 72,329,22,G,G,F,G,"","Small DW, Old damage",""
Pleasant St East side,80 Main St Rear,McLean,X,"",1 73,330,25,F,G,F,G,"",Small DW,""
53 Pleasant St East side,"",Fullenweider,"",X,1 74,331,48,F,G,G,P,"",Large DW,""
Pleasant St East side,80 Main St Rear,McLean,"",X,1 75,332,46,F,F,G,G,"",Small DW,""
53 Pleasant St East side,"",Fullenweider,X,"",1 76,172,23,F,F,F,G,"","Small DW, Old damage",""
53 Pleasant St East side,"",Fullenweider,X,"",1 77,"",28,G,G,G,G,"","",""
53 Pleasant St East side,"",Fullenweider,X,"",1 78,299,27,F,F,G,F,"",Small DW,""
57 Pleasant St East side,"",Sweet,X,"",1 79,301,25,G,G,G,G,"",Small DW,Pruned
57 Pleasant St East side,"",Sweet,X,"",1 80,302,25,F,F,P,P,"","Large DW, Large cavity",Pruned
88 Main St West side,"",Hyatt,X,"",1 81,"",16,F,F,G,G,"",Small DW,Pruned
88 Main St West side,"",Hyatt,X,"",1 82,"",11,G,G,VP,G,"",Poor crotch structure,Pruned; 3 brace rods
88 Main St West side,"",Hyatt,"",X,1 83,389,19,G,G,VP,G,"",Poor crotch structure,""
88 Main St West side,"",Hyatt,X,"",1 84,"",11,G,G,G,G,"","",DED 07/25/11
84 Main St West side,"",Baker,X,"",1 85,"",26,F,G,G,G,"","",Pruned
76 Main St West side,"",Siegel,"",X,1 86,"",32,G,G,F,F,"",Medium DW,""
80 Main St West side,"",McLean ?,"",X,1 87,"",21,G,G,G,F,"",Medium DW,""
